id,pop
FB_173_Xip_fus_MZUSP_90954,AF
FB_176_Xip_fus_MZUSP_91422,AF
FB_183_Xip_fus_MZUSP_91429,AF
FB_184_Xip_fus_MZUSP_91430,AF
FB_185_Xip_fus_MZUSP_79201,AF
FB_187_Xip_fus_MZUSP_94370,AF
FB_188_Xip_fus_MZUSP_94371,AF
FB_189_Xip_fus_MZUSP_94372,AF
FB_1O1_Xip_atl_MZUSP_85801,PCE
FB_1O2_Xip_atl_TCAHZ_00429,PCE
FB_1O3_Xip_atl_TCAHZ_00545,PCE
FB_1O4_Xip_atl_TCAHZ_01265,PCE
FB_1O5_Xip_atl_MZUSP_85830,PCE
FB_1O6_Xip_atl_MZUSP_98395,PCE
FB_1OO_Xip_atl_MZUSP_85800,PCE
FB_242_Xip_spi_MZUSP_77245,AM
FB_243_Xip_spi_MZUSP_77246,AM
FB_269_Xip_spi_MZUSP_93335,AM
FB_271_Xip_spi_MZUSP_95433,AM
FB_279_Xip_spi_MZUSP_99168,AM
FB_289_Xip_atlan_A159,PCE
FB_290_Xip_atlan_A172,PCE
FB_291_Xip_atlan_A304,PCE
FB_292_Xip_spi_LGEMA_10210,AM
FB_294_Xip_fus_LGEMA_2641,AF
FB_295_Xip_spi_LGEMA_2645,AF
FB_296_Xip_spi_LGEMA_2654,AF
FB_323_Xip_spi_T19953,AM
FB_324_Xip_spi_T21178,AM
FB_325_Xip_spi_T21404,AM
FB_326_Xip_spi_T21405,AM
FB_327_Xip_spi_T23693,AM
FB_726_Xip_atl_MZUSP_33255,Ceara
FB_727_Xip_atl_MZUSP_41659,Ceara
FB_728_Xip_atl_MZUSP_37324,PCE
FB_729_Xip_atl_MZUSP_37329,PCE
FB_O99_Xip_atl_MZUSP_CE_56,Ceara
