N,Ind,Pop
1,MVC_01_MZUSP_115231_Touit_mel,GRU
2,MVC_02_MZUSP_115232_Touit_mel,GRU
3,MVC_03_MZUSP_115233_Touit_mel,GRU
4,MVC_04_MZUSP_115234_Touit_mel,GRU
5,MVC_05_MZUSP_115235_Touit_mel,GRU
6,MVC_06_MZUSP_115236_Touit_mel,GRU
7,MVC_07_MZUSP_115237_Touit_mel,GRU
8,MVC_08_MZUSP_115238_Touit_mel,GRU
9,MVC_09_MZUSP_115239_Touit_mel,GRU
10,MVC_10_MZUSP_115240_Touit_mel,GRU
11,MVC_11_MZUSP_115241_Touit_mel,GRU
12,MVC_12_MZUSP_115242_Touit_mel,GRU
13,MVC_13_MZUSP_115243_Touit_mel,GRU
14,MVC_14_MZUSP_115244_Touit_mel,GRU
15,MVC_15_MZUSP_115245_Touit_mel,GRU
16,MVC_16_MZUSP_115246_Touit_mel,GRU
17,MVC_17_MZUSP_115247_Touit_mel,GRU
18,MVC_18_MZUSP_115248_Touit_mel,GRU
19,MVC_19_MZUSP_115249_Touit_mel,GRU
20,MVC_20_MZUSP_115250_Touit_mel,GRU
21,MVC_21_MZUSP_115251_Touit_mel,GRU
22,MVC_22_MZUSP_115252_Touit_mel,GRU
23,MVC_23_MZUSP_115253_Touit_mel,GRU
24,MVC_24_MZUSP_115254_Touit_mel,GRU
25,MVC_25_MZUSP_115255_Touit_mel,GRU
